fecha,banco,monto,valor
2026-05-28,Banco Fortaleza,2480730,9.97
2026-05-28,Banco Ganadero,7277499,9.90
2026-05-28,Banco Mercantil Santa Cruz,3346097,9.96
2026-05-28,Banco Nacional de Bolivia,1670515,9.94
2026-05-28,Banco PYME Ecofuturo,100000,9.98
2026-05-28,Banco PYME de la Comunidad,2000,7.08
2026-05-28,Banco Solidario,345032,9.87
2026-05-28,Banco Unión,50074,9.90
2026-05-28,Banco de Crédito,1783593,9.85
2026-05-29,Banco BISA,1305301,9.87
2026-05-29,Banco Económico,29691,9.13
2026-05-29,Banco Fortaleza,362950,9.95
2026-05-29,Banco Ganadero,7392942,9.93
2026-05-29,Banco Mercantil Santa Cruz,803980,9.79
2026-05-29,Banco Nacional de Bolivia,1561642,9.96
2026-05-29,Banco PYME Ecofuturo,1235000,9.99
2026-05-29,Banco Solidario,1946363,9.94
2026-05-29,Banco Unión,16581,9.74
2026-05-29,Banco de Crédito,233752,9.88
2026-06-01,Banco BISA,4223281,9.91
2026-06-01,Banco Económico,73250,9.83
2026-06-01,Banco FIE,41525,9.93
2026-06-01,Banco Ganadero,3942471,9.87
2026-06-01,Banco Mercantil Santa Cruz,1825385,9.81
2026-06-01,Banco Nacional de Bolivia,1285462,9.85
2026-06-01,Banco Solidario,352759,9.82
2026-06-01,Banco Unión,3749756,10.00
2026-06-01,Banco de Crédito,2024241,9.59
2026-06-02,Banco BISA,9721564,9.89
2026-06-02,Banco Económico,52841,7.21
2026-06-02,Banco FIE,9975,9.81
2026-06-02,Banco Ganadero,8838909,9.88
2026-06-02,Banco Mercantil Santa Cruz,1785450,9.72
2026-06-02,Banco Nacional de Bolivia,2305408,9.85
2026-06-02,Banco PYME de la Comunidad,117,7.00
2026-06-02,Banco Solidario,1589484,9.93
2026-06-02,Banco Unión,7561,9.89
2026-06-02,Banco de Crédito,2195943,9.74
2026-06-02,Banco de la Nación Argentina,105000,9.81
2026-06-03,Banco BISA,2883485,9.24
2026-06-03,Banco Económico,1514059,9.94
2026-06-03,Banco FIE,173590,9.66
2026-06-03,Banco Fortaleza,143775,9.88
2026-06-03,Banco Ganadero,3830019,9.82
2026-06-03,Banco Mercantil Santa Cruz,6409197,10.03
2026-06-03,Banco Nacional de Bolivia,3505576,9.39
2026-06-03,Banco Solidario,1062952,9.92
2026-06-03,Banco Unión,59627,9.86
2026-06-03,Banco de Crédito,445173,8.74
2026-06-08,Banco BISA,11031035,9.92
2026-06-08,Banco Económico,2044164,9.94
2026-06-08,Banco FIE,2247440,9.95
2026-06-08,Banco Fortaleza,42948,9.07
2026-06-08,Banco Ganadero,9943699,9.88
2026-06-08,Banco Mercantil Santa Cruz,1254039,9.90
2026-06-08,Banco Nacional de Bolivia,4999580,9.89
2026-06-08,Banco Solidario,2280669,9.86
2026-06-08,Banco Unión,23588,9.86
2026-06-08,Banco de Crédito,375264,9.44
2026-06-08,Banco de la Nación Argentina,83476,9.85
2026-06-09,Banco BISA,4717206,9.81
2026-06-09,Banco Económico,4838524,9.94
2026-06-09,Banco FIE,100000,9.91
2026-06-09,Banco Fortaleza,65190,9.76
2026-06-09,Banco Ganadero,8340738,9.88
2026-06-09,Banco Mercantil Santa Cruz,2770329,9.80
2026-06-09,Banco Nacional de Bolivia,4199653,9.82
2026-06-09,Banco PYME de la Comunidad,200,7.00
2026-06-09,Banco Solidario,4826069,9.86
2026-06-09,Banco Unión,230687,9.72
2026-06-09,Banco de Crédito,5419101,9.86
2026-06-09,Banco de la Nación Argentina,224048,9.89
