fecha,division,mensual,12_m
2023-09-01,Alimentos y bebidas no alcohólicas,-0.450,5.346
2023-09-01,Bebidas alcohólicas y tabaco,0.285,0.378
2023-09-01,Bienes y servicios diversos,-0.050,2.708
2023-09-01,Comunicaciones,0.072,-0.234
2023-09-01,Educación,0.005,1.068
2023-09-01,"Muebles, bienes y servicios domésticos",-0.031,2.079
2023-09-01,Prendas de vestir y calzado,-0.001,1.162
2023-09-01,Recreación y cultura,-0.180,1.844
2023-09-01,Salud,0.030,1.636
2023-09-01,Transporte,0.578,3.175
2023-09-01,Vivienda y servicios básicos,0.068,1.271
2023-10-01,Alimentos y bebidas consumidos fuera del hogar,0.118,2.401
2023-10-01,Alimentos y bebidas no alcohólicas,-0.123,2.967
2023-10-01,Bebidas alcohólicas y tabaco,0.245,0.732
2023-10-01,Bienes y servicios diversos,-0.096,2.524
2023-10-01,Comunicaciones,-0.068,-0.311
2023-10-01,Educación,-0.029,1.071
2023-10-01,"Muebles, bienes y servicios domésticos",0.072,1.802
2023-10-01,Prendas de vestir y calzado,-0.162,0.822
2023-10-01,Recreación y cultura,0.023,1.810
2023-10-01,Salud,0.039,1.777
2023-10-01,Transporte,0.027,2.496
2023-10-01,Vivienda y servicios básicos,0.216,1.405
2023-11-01,Alimentos y bebidas consumidos fuera del hogar,-0.039,1.495
2023-11-01,Alimentos y bebidas no alcohólicas,0.017,2.013
2023-11-01,Bebidas alcohólicas y tabaco,-0.336,0.292
2023-11-01,Bienes y servicios diversos,-0.107,2.396
2023-11-01,Comunicaciones,0.174,-0.169
2023-11-01,Educación,-0.007,1.104
2023-11-01,"Muebles, bienes y servicios domésticos",0.074,2.067
2023-11-01,Prendas de vestir y calzado,-0.136,0.977
2023-11-01,Recreación y cultura,-0.192,1.504
2023-11-01,Salud,0.145,1.795
2023-11-01,Transporte,0.077,1.477
2023-11-01,Vivienda y servicios básicos,0.037,1.395
2023-12-01,Alimentos y bebidas consumidos fuera del hogar,0.207,1.615
2023-12-01,Alimentos y bebidas no alcohólicas,1.037,3.323
2023-12-01,Bebidas alcohólicas y tabaco,0.965,0.735
2023-12-01,Bienes y servicios diversos,0.850,2.695
2023-12-01,Comunicaciones,0.171,0.115
2023-12-01,Educación,0.096,1.190
2023-12-01,"Muebles, bienes y servicios domésticos",0.155,2.015
2023-12-01,Prendas de vestir y calzado,0.598,1.081
2023-12-01,Recreación y cultura,0.116,1.745
2023-12-01,Salud,0.108,1.574
2023-12-01,Transporte,2.106,2.727
2023-12-01,Vivienda y servicios básicos,-0.255,1.120
2024-01-01,Alimentos y bebidas consumidos fuera del hogar,0.130,1.405
2024-01-01,Alimentos y bebidas no alcohólicas,-0.396,2.171
2024-01-01,Bebidas alcohólicas y tabaco,-0.804,0.365
2024-01-01,Bienes y servicios diversos,0.425,2.439
2024-01-01,Comunicaciones,0.339,0.722
2024-01-01,Educación,1.092,1.682
2024-01-01,"Muebles, bienes y servicios domésticos",0.108,1.910
2024-01-01,Prendas de vestir y calzado,-0.024,0.944
2024-01-01,Recreación y cultura,1.085,2.370
2024-01-01,Salud,0.423,2.045
2024-01-01,Transporte,0.006,3.167
2024-01-01,Vivienda y servicios básicos,-0.080,0.901
2024-02-01,Alimentos y bebidas consumidos fuera del hogar,0.225,1.454
2024-02-01,Alimentos y bebidas no alcohólicas,-0.029,3.980
2024-02-01,Bebidas alcohólicas y tabaco,-0.563,-0.303
2024-02-01,Bienes y servicios diversos,1.030,3.375
2024-02-01,Comunicaciones,0.342,1.294
2024-02-01,Educación,0.402,1.712
2024-02-01,"Muebles, bienes y servicios domésticos",0.585,2.491
2024-02-01,Prendas de vestir y calzado,0.198,1.284
2024-02-01,Recreación y cultura,1.079,2.153
2024-02-01,Salud,0.476,2.454
2024-02-01,Transporte,-0.743,3.099
2024-02-01,Vivienda y servicios básicos,0.095,0.980
2024-03-01,Alimentos y bebidas consumidos fuera del hogar,0.215,1.690
2024-03-01,Alimentos y bebidas no alcohólicas,0.658,4.940
2024-03-01,Bebidas alcohólicas y tabaco,1.095,1.154
2024-03-01,Bienes y servicios diversos,1.456,4.760
2024-03-01,Comunicaciones,0.192,1.160
2024-03-01,Educación,-0.097,1.499
2024-03-01,"Muebles, bienes y servicios domésticos",1.060,3.461
2024-03-01,Prendas de vestir y calzado,0.252,1.453
2024-03-01,Recreación y cultura,1.090,3.182
2024-03-01,Salud,0.694,2.743
2024-03-01,Transporte,-0.724,3.160
2024-03-01,Vivienda y servicios básicos,0.194,1.063
2024-04-01,Alimentos y bebidas consumidos fuera del hogar,0.145,1.730
2024-04-01,Alimentos y bebidas no alcohólicas,1.589,6.188
2024-04-01,Bebidas alcohólicas y tabaco,-0.002,1.439
2024-04-01,Bienes y servicios diversos,1.308,6.142
2024-04-01,Comunicaciones,0.073,0.916
2024-04-01,Educación,-0.059,1.463
2024-04-01,"Muebles, bienes y servicios domésticos",0.265,3.496
2024-04-01,Prendas de vestir y calzado,0.076,1.454
2024-04-01,Recreación y cultura,0.156,3.437
2024-04-01,Salud,0.272,3.082
2024-04-01,Transporte,-0.346,2.391
2024-04-01,Vivienda y servicios básicos,0.010,1.054
2024-05-01,Alimentos y bebidas consumidos fuera del hogar,0.132,1.720
