departamento,fecha,componente,inflacion_28d
cochabamba,2024-09-07,Congelados,1.281
cochabamba,2024-09-07,Cuidado Personal,3.067
cochabamba,2024-09-07,Cuidado del Bebé,8.062
cochabamba,2024-09-07,Cuidado del Hogar,2.158
cochabamba,2024-09-07,Fiambres,2.061
cochabamba,2024-09-07,Frutas y Verduras,-1.051
cochabamba,2024-09-07,Granos y Hortalizas,0.150
cochabamba,2024-09-07,Lácteos y Derivados,0.780
cochabamba,2024-09-07,Panadería,1.236
cochabamba,2024-09-07,Pastelería y Masas Típicas,0.469
la_paz,2024-09-07,Abarrotes,3.415
la_paz,2024-09-07,Bazar,1.053
la_paz,2024-09-07,Bebidas,2.058
la_paz,2024-09-07,Carnes,-2.339
la_paz,2024-09-07,Compuesto,1.571
la_paz,2024-09-07,Congelados,0.947
la_paz,2024-09-07,Cuidado Personal,3.995
la_paz,2024-09-07,Cuidado del Bebé,7.187
la_paz,2024-09-07,Cuidado del Hogar,2.225
la_paz,2024-09-07,Fiambres,2.469
la_paz,2024-09-07,Frutas y Verduras,-3.090
la_paz,2024-09-07,Granos y Hortalizas,-0.398
la_paz,2024-09-07,Lácteos y Derivados,1.112
la_paz,2024-09-07,Panadería,0.967
la_paz,2024-09-07,Pastelería y Masas Típicas,0.948
santa_cruz,2024-09-07,Abarrotes,4.427
santa_cruz,2024-09-07,Bazar,5.145
santa_cruz,2024-09-07,Bebidas,1.340
santa_cruz,2024-09-07,Carnes,0.446
santa_cruz,2024-09-07,Compuesto,2.584
santa_cruz,2024-09-07,Congelados,4.011
santa_cruz,2024-09-07,Cuidado Personal,4.324
santa_cruz,2024-09-07,Cuidado del Bebé,7.868
santa_cruz,2024-09-07,Cuidado del Hogar,2.032
santa_cruz,2024-09-07,Farmacia Otc,0.000
santa_cruz,2024-09-07,Fiambres,2.601
santa_cruz,2024-09-07,Frutas y Verduras,0.201
santa_cruz,2024-09-07,Granos y Hortalizas,0.060
santa_cruz,2024-09-07,Lácteos y Derivados,1.001
santa_cruz,2024-09-07,Panadería,1.732
santa_cruz,2024-09-07,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-08,Abarrotes,3.133
cochabamba,2024-09-08,Bazar,1.078
cochabamba,2024-09-08,Bebidas,2.534
cochabamba,2024-09-08,Carnes,-1.025
cochabamba,2024-09-08,Compuesto,1.956
cochabamba,2024-09-08,Congelados,1.283
cochabamba,2024-09-08,Cuidado Personal,3.056
cochabamba,2024-09-08,Cuidado del Bebé,7.866
cochabamba,2024-09-08,Cuidado del Hogar,2.129
cochabamba,2024-09-08,Fiambres,2.066
cochabamba,2024-09-08,Frutas y Verduras,-1.051
cochabamba,2024-09-08,Granos y Hortalizas,0.150
cochabamba,2024-09-08,Lácteos y Derivados,0.786
cochabamba,2024-09-08,Panadería,1.831
cochabamba,2024-09-08,Pastelería y Masas Típicas,1.018
la_paz,2024-09-08,Abarrotes,3.088
la_paz,2024-09-08,Bazar,1.053
la_paz,2024-09-08,Bebidas,2.045
la_paz,2024-09-08,Carnes,-2.339
la_paz,2024-09-08,Compuesto,1.534
la_paz,2024-09-08,Congelados,0.939
la_paz,2024-09-08,Cuidado Personal,3.994
la_paz,2024-09-08,Cuidado del Bebé,7.232
